post_id	label	Text	post_tokens	maj_rationales	rationale_words	model_prediction
1179030519213957120_twitter	normal	<user> <user> <user> its very easy to make comments from comfort of your luxury life first please live a life as refugee and than make a comment you have no idea what radical islamist has done to minorities in our islamic neighbourhood	[]	['<user>', '<user>', '<user>', 'its', 'very', 'easy', 'to', 'make', 'comments', 'from', 'comfort', 'of', 'your', 'luxury', 'life', 'first', 'please', 'live', 'a', 'life', 'as', 'refugee', 'and', 'than', 'make', 'a', 'comment', 'you', 'have', 'no', 'idea', 'what', 'radical', 'islamist', 'has', 'done', 'to', 'minorities', 'in', 'our', 'islamic', 'neighbourhood']		hatespeech
21555615_gab	hatespeech	does anyone get the feeling that nick the spic fuentes is like trying to court <number> something internet savvy boomer conservatives as if they were a thing	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['spic']		hatespeech
1179104444782465024_twitter	normal	someone told me about a good queer shop in old city but i dont remember the name <sad>	[]	['someone', 'told', 'me', 'about', 'a', 'good', 'queer', 'shop', 'in', 'old', 'city', 'but', 'i', 'dont', 'remember', 'the', 'name', '<sad>']		normal
11553448_gab	normal	calling me a nigger on gab does not faze me i will be really impressed when someone on here calls me a mooncricket	[]	['calling', 'me', 'a', 'nigger', 'on', 'gab', 'does', 'not', 'faze', 'me', 'i', 'will', 'be', 'really', 'impressed', 'when', 'someone', 'on', 'here', 'calls', 'me', 'a', 'mooncricket']		offensive
1179079715799388161_twitter	normal	i cant why do all white kids sound like that omg	[]	['i', 'cant', 'why', 'do', 'all', 'white', 'kids', 'sound', 'like', 'that', 'omg']		hatespeech
1178932262848647168_twitter	normal	<user> <user> <user> <user> i know this also applies to very light colored peps not standard western white dude white but lighter as that some asians got a problem or scandinavian	[]	['<user>', '<user>', '<user>', '<user>', 'i', 'know', 'this', 'also', 'applies', 'to', 'very', 'light', 'colored', 'peps', 'not', 'standard', 'western', 'white', 'dude', 'white', 'but', 'lighter', 'as', 'that', 'some', 'asians', 'got', 'a', 'problem', 'or', 'scandinavian']		normal
1179059438600114176_twitter	normal	<user> stephen miller has to be behind this he appears to want to kill all people with brown skin and he willing to start with women children	[]	['<user>', 'stephen', 'miller', 'has', 'to', 'be', 'behind', 'this', 'he', 'appears', 'to', 'want', 'to', 'kill', 'all', 'people', 'with', 'brown', 'skin', 'and', 'he', 'willing', 'to', 'start', 'with', 'women', 'children']		hatespeech
21381746_gab	normal	so a gook threw out all of my books long story i am putting together an amazon cart with all of my old books and some new ones anyone have any suggestions	[]	['so', 'a', 'gook', 'threw', 'out', 'all', 'of', 'my', 'books', 'long', 'story', 'i', 'am', 'putting', 'together', 'an', 'amazon', 'cart', 'with', 'all', 'of', 'my', 'old', 'books', 'and', 'some', 'new', 'ones', 'anyone', 'have', 'any', 'suggestions']		normal
14030104_gab	hatespeech	yeah i got to about just over <number> followers and got shoahed for criticizing amy schumer being cast as barbie and just never bothered to return and surprise surprise i was correct and they nixed that kikey plan but whatevs <happy>	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	['shoahed', 'kikey']		hatespeech
19191932_gab	hatespeech	kim cannon sucks nigger dick he can not keep a woman because he has a tiny dick and thinks he is smart	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	['nigger', 'dick', 'dick']		hatespeech
1118341460657459200_twitter	offensive	grown men subtweeting like bitches	[0, 0, 0, 0, 1]	['bitches']		offensive
1179098082635583489_twitter	offensive	<user> of course a fat white bitch is pro another fat white bitch	[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]	['fat', 'white', 'bitch', 'fat', 'white', 'bitch']		hatespeech
1179019049969373184_twitter	normal	<user> words are important af and change with the times we no longer describe people as retarded faggot or even indian it called progress forcing people who want things from government to treat others who also pay taxes respectfully seems ok to me	[]	['<user>', 'words', 'are', 'important', 'af', 'and', 'change', 'with', 'the', 'times', 'we', 'no', 'longer', 'describe', 'people', 'as', 'retarded', 'faggot', 'or', 'even', 'indian', 'it', 'called', 'progress', 'forcing', 'people', 'who', 'want', 'things', 'from', 'government', 'to', 'treat', 'others', 'who', 'also', 'pay', 'taxes', 'respectfully', 'seems', 'ok', 'to', 'me']		normal
1178784612685885441_twitter	offensive	<user> the privileged white devils are the only race that can not be victims of a hate crime	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['privileged', 'white', 'devils']		hatespeech
12167048_gab	hatespeech	thanks to retard attempting poetry nigger rick ross filming his blasphemous and expletive laden video in and around the church of saint evstratios in vourvourou thira greek orthodox now understand what i mean when i state niggers are shit	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	['retard', 'nigger', 'niggers', 'are', 'shit']		hatespeech
1179078926955683841_twitter	normal	just remembered that renee is a lesbian the dykes won this one	[]	['just', 'remembered', 'that', 'renee', 'is', 'a', 'lesbian', 'the', 'dykes', 'won', 'this', 'one']		hatespeech
1179068968503595019_twitter	normal	<user> feminists just want equal rights in the professional world the laws and the same security with which men roam around alone on streets at <number> am we want to make our own future without involving every male relative around and not get raped too much to ask	[]	['<user>', 'feminists', 'just', 'want', 'equal', 'rights', 'in', 'the', 'professional', 'world', 'the', 'laws', 'and', 'the', 'same', 'security', 'with', 'which', 'men', 'roam', 'around', 'alone', 'on', 'streets', 'at', '<number>', 'am', 'we', 'want', 'to', 'make', 'our', 'own', 'future', 'without', 'involving', 'every', 'male', 'relative', 'around', 'and', 'not', 'get', 'raped', 'too', 'much', 'to', 'ask']		normal
16109086_gab	hatespeech	do not worry negress q speaks and we will show the nigger rigging a marcus garvey boat ticket is in your future	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['negress', 'q', 'nigger']		hatespeech
24642826_gab	hatespeech	as evidenced by the fact that they do not attack nigger toxic masculinity like rappers ball players with the same ferocity with which they attack toxic white men	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
1179024780516876288_twitter	normal	bi i am ded this nigga almost crashed into a cop car that cop was mad as hell pulled him over everything 🤣 🤣 🤣	[]	['bi', 'i', 'am', 'ded', 'this', 'nigga', 'almost', 'crashed', 'into', 'a', 'cop', 'car', 'that', 'cop', 'was', 'mad', 'as', 'hell', 'pulled', 'him', 'over', 'everything', '🤣', '🤣', '🤣']		hatespeech
16980692_gab	hatespeech	post that kike star again and you can wear them in the oven	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['kike']		hatespeech
1178056433188904960_twitter	normal	a long video say crappy things incesitive violence to those that disagree with and believes their arguments are for the sake of justice wow i did not realize this sooner	[]	['a', 'long', 'video', 'say', 'crappy', 'things', 'incesitive', 'violence', 'to', 'those', 'that', 'disagree', 'with', 'and', 'believes', 'their', 'arguments', 'are', 'for', 'the', 'sake', 'of', 'justice', 'wow', 'i', 'did', 'not', 'realize', 'this', 'sooner']		hatespeech
12423952_gab	offensive	liberals call potus trump supporters white supremacists nazis and coons but whine because he calls fat boy in nk rocket man ❄ hypocrites 😂	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['coons']		hatespeech
1178873120804999169_twitter	normal	pac said all you mfs fuck you too fuck u die slow mfs my <number> make sure all you all kid do not grow	[]	['pac', 'said', 'all', 'you', 'mfs', 'fuck', 'you', 'too', 'fuck', 'u', 'die', 'slow', 'mfs', 'my', '<number>', 'make', 'sure', 'all', 'you', 'all', 'kid', 'do', 'not', 'grow']		hatespeech
1179017320016076800_twitter	offensive	dying at all the hillbilly canton moms on social media like if you yell at my son i will kill you with these redneck bare hands chill out sabrina all you are gonna do is give me the stink eye at the drive through cig place and keep it moving lmao	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['hillbilly']		normal
1178692034531643396_twitter	normal	<user> when whites and asians have children the kid still comes out white black men are the exact opposite the antithesis to white men	[]	['<user>', 'when', 'whites', 'and', 'asians', 'have', 'children', 'the', 'kid', 'still', 'comes', 'out', 'white', 'black', 'men', 'are', 'the', 'exact', 'opposite', 'the', 'antithesis', 'to', 'white', 'men']		hatespeech
1169843504052236293_twitter	normal	all these niggas acting surprised the 2 k20 servers are down open yo eyes jitt these niggas do not care about the community	[]	['all', 'these', 'niggas', 'acting', 'surprised', 'the', '2', 'k20', 'servers', 'are', 'down', 'open', 'yo', 'eyes', 'jitt', 'these', 'niggas', 'do', 'not', 'care', 'about', 'the', 'community']		hatespeech
22398230_gab	hatespeech	on point it all kike mercinary work	[0, 0, 0, 0, 1, 0, 0]	['kike']		hatespeech
16921944_gab	hatespeech	they should have put this nigger at the back of the plane	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
6305207_gab	hatespeech	trump is a pedophile kike verified power user	[0, 0, 0, 0, 1, 0, 0, 0]	['kike']		hatespeech
24430545_gab	hatespeech	i am triggered you cry over down votes i will bet mini me would be at your white nigger ass	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	['nigger']		hatespeech
1187925752571973632_twitter	normal	the bigger the hoops the bigger the hoe guy at gas station	[]	['the', 'bigger', 'the', 'hoops', 'the', 'bigger', 'the', 'hoe', 'guy', 'at', 'gas', 'station']		offensive
1165738563876659206_twitter	normal	just saw a phillies flag on a front porch it should should have a black ribbon tied to it	[]	['just', 'saw', 'a', 'phillies', 'flag', 'on', 'a', 'front', 'porch', 'it', 'should', 'should', 'have', 'a', 'black', 'ribbon', 'tied', 'to', 'it']		normal
1092591391086178304_twitter	normal	chipped black nail polish	[]	['chipped', 'black', 'nail', 'polish']		normal
1178871699472896000_twitter	normal	wait i forgot to mention my coworker saw my hobi photocard and asked if it was my bf 😭 🥺 stupid b tch i am dykey dykey	[]	['wait', 'i', 'forgot', 'to', 'mention', 'my', 'coworker', 'saw', 'my', 'hobi', 'photocard', 'and', 'asked', 'if', 'it', 'was', 'my', 'bf', '😭', '🥺', 'stupid', 'b', 'tch', 'i', 'am', 'dykey', 'dykey']		hatespeech
15596675_gab	offensive	damn it 9 eyedeel disemboweling was my sadistic recommendation of the day with these posts the nigger beat me to it	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	['nigger']		hatespeech
18428729_gab	hatespeech	the german regime is more scared of women like this than than are of any moslem terrorist	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	['moslem', 'terrorist']		hatespeech
1178978611652710406_twitter	normal	<user> <user> nothing more than serial rapists both of them he raped women and american taxpayers and she raped america and the american taxpayer	[]	['<user>', '<user>', 'nothing', 'more', 'than', 'serial', 'rapists', 'both', 'of', 'them', 'he', 'raped', 'women', 'and', 'american', 'taxpayers', 'and', 'she', 'raped', 'america', 'and', 'the', 'american', 'taxpayer']		hatespeech
14602552_gab	hatespeech	fully agree every personal interaction with these queers reinforces what i already knew severe mental illness and obnoxious to boot	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['queers']		hatespeech
1109959500633702401_twitter	normal	duke bout to fall to a nigga named tacko ucf has duke in a submission ufc lol	[]	['duke', 'bout', 'to', 'fall', 'to', 'a', 'nigga', 'named', 'tacko', 'ucf', 'has', 'duke', 'in', 'a', 'submission', 'ufc', 'lol']		hatespeech
12443667_gab	offensive	edited their news headline for clarity the most common baby name for a moslem in england muhammad mohammed	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	['moslem']		normal
1178638779428605952_twitter	normal	<user> omitting the part where you raped someone and threatened to kill yourself if they left you	[]	['<user>', 'omitting', 'the', 'part', 'where', 'you', 'raped', 'someone', 'and', 'threatened', 'to', 'kill', 'yourself', 'if', 'they', 'left', 'you']		hatespeech
1178374402208980992_twitter	normal	man all these brown my parents will not accept my white partner stories are so wack like you know damn well it so much harder for the black partners of brown kids like i wanna watch a movie or story that deals with that i am tired of white ppl	[]	['man', 'all', 'these', 'brown', 'my', 'parents', 'will', 'not', 'accept', 'my', 'white', 'partner', 'stories', 'are', 'so', 'wack', 'like', 'you', 'know', 'damn', 'well', 'it', 'so', 'much', 'harder', 'for', 'the', 'black', 'partners', 'of', 'brown', 'kids', 'like', 'i', 'wanna', 'watch', 'a', 'movie', 'or', 'story', 'that', 'deals', 'with', 'that', 'i', 'am', 'tired', 'of', 'white', 'ppl']		hatespeech
1178810018680000513_twitter	normal	nah its totally cool super fucking hate you tho 🤗	[]	['nah', 'its', 'totally', 'cool', 'super', 'fucking', 'hate', 'you', 'tho', '🤗']		hatespeech
1178264675663929346_twitter	normal	<user> is it colored or black and white and make sure it has red background	[]	['<user>', 'is', 'it', 'colored', 'or', 'black', 'and', 'white', 'and', 'make', 'sure', 'it', 'has', 'red', 'background']		normal
8968572_gab	hatespeech	nobody else would find these women attractive but the muzzies routinely fuck sheep and goats an ugly old woman is a treat to them	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['muzzies']		hatespeech
24226606_gab	hatespeech	better believe the kikes are behind these nigger attacks	[0, 0, 0, 1, 0, 0, 0, 1, 0]	['kikes', 'nigger']		hatespeech
2432948_gab	hatespeech	<user> explicit terrorist imagery that means no more exposing what muzzies are doing	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	['muzzies']		hatespeech
1178506508600008704_twitter	normal	i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again	[]	['i', 'hate', 'saying', 'nigga', 'around', 'my', 'white', 'friends', 'but', 'sometimes', 'you', 'niggers', 'be', 'out', 'coonin', 'and', 'a', 'cmon', 'my', 'nigga', 'will', 'slip', 'out', 'every', 'now', 'and', 'again']		hatespeech
1178776536398385155_twitter	normal	<user> queer jews unite 💘 🥰	[]	['<user>', 'queer', 'jews', 'unite', '💘', '🥰']		hatespeech
1179019608285683714_twitter	normal	older people experience discrimination and abuse but older people refugees are exposed to more injustice and abuse at nduta refugee camp our colleagues celebrated with people with specific needs <user> expose ageism <user>	[]	['older', 'people', 'experience', 'discrimination', 'and', 'abuse', 'but', 'older', 'people', 'refugees', 'are', 'exposed', 'to', 'more', 'injustice', 'and', 'abuse', 'at', 'nduta', 'refugee', 'camp', 'our', 'colleagues', 'celebrated', 'with', 'people', 'with', 'specific', 'needs', '<user>', 'expose', 'ageism', '<user>']		normal
1179088231951994880_twitter	normal	<user> where the fuck are your socks white boy	[]	['<user>', 'where', 'the', 'fuck', 'are', 'your', 'socks', 'white', 'boy']		hatespeech
1179093059931377666_twitter	offensive	bouta put my professor on queer eye cuz this bitch can not dress	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	['bitch']		offensive
1178839305604739072_twitter	offensive	<user> the only woman of color in the room is the chinaman doing the interview	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	['chinaman']		hatespeech
1179094957690408965_twitter	normal	old white people really think they are entitled wow do not doubt the power i have over your exams bitch	[]	['old', 'white', 'people', 'really', 'think', 'they', 'are', 'entitled', 'wow', 'do', 'not', 'doubt', 'the', 'power', 'i', 'have', 'over', 'your', 'exams', 'bitch']		hatespeech
1179048983420899328_twitter	normal	dis lil white bitch got da poker 🤦 🏽 ‍ ♂️	[]	['dis', 'lil', 'white', 'bitch', 'got', 'da', 'poker', '🤦', '🏽', '\u200d', '♂️']		hatespeech
24049395_gab	hatespeech	pft this is not news he plays for palestine and gaza and all that shit all the time he a well known muzzie kook like cat stevens	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]	['muzzie', 'kook']		hatespeech
1179048638921596928_twitter	hatespeech	<user> <user> ching chong <number>	[0, 0, 1, 1, 0]	['ching', 'chong']		hatespeech
1179087197733081088_twitter	normal	i am holding my celebration until after she get her numbers i know how them white ppl play guilty do not mean shit if they gone give her county time	[]	['i', 'am', 'holding', 'my', 'celebration', 'until', 'after', 'she', 'get', 'her', 'numbers', 'i', 'know', 'how', 'them', 'white', 'ppl', 'play', 'guilty', 'do', 'not', 'mean', 'shit', 'if', 'they', 'gone', 'give', 'her', 'county', 'time']		hatespeech
2521549_gab	hatespeech	<user> cuz it is upsetting all of my muzzie friends fam	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	['muzzie']		hatespeech
1179103318762803200_twitter	normal	i needed you and you were not there that made me hate you	[]	['i', 'needed', 'you', 'and', 'you', 'were', 'not', 'there', 'that', 'made', 'me', 'hate', 'you']		offensive
17042995_gab	normal	some of the moslem invaders being honoured by the british regime	[]	['some', 'of', 'the', 'moslem', 'invaders', 'being', 'honoured', 'by', 'the', 'british', 'regime']		hatespeech
13034303_gab	normal	david a clarke jr ‏ verified account <user> 1 h1 hour ago where was the visceral reaction toward cam newton by the left when bill maher referred to himself as a house nigger on live tv they laughed	[]	['david', 'a', 'clarke', 'jr', '\u200f', 'verified', 'account', '<user>', '1', 'h1', 'hour', 'ago', 'where', 'was', 'the', 'visceral', 'reaction', 'toward', 'cam', 'newton', 'by', 'the', 'left', 'when', 'bill', 'maher', 'referred', 'to', 'himself', 'as', 'a', 'house', 'nigger', 'on', 'live', 'tv', 'they', 'laughed']		hatespeech
1122013674485506048_twitter	normal	renjun is a lesbian entende	[]	['renjun', 'is', 'a', 'lesbian', 'entende']		offensive
1187745116464832515_twitter	normal	it ain t even noon yet and niggas lying	[]	['it', 'ain', 't', 'even', 'noon', 'yet', 'and', 'niggas', 'lying']		hatespeech
1178754612456755201_twitter	normal	<user> <user> <user> <user> compared to other faggots i indeed am	[]	['<user>', '<user>', '<user>', '<user>', 'compared', 'to', 'other', 'faggots', 'i', 'indeed', 'am']		hatespeech
1179102552345976832_twitter	offensive	<user> big head and being a faggot in the front row	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	['faggot']		hatespeech
21209681_gab	hatespeech	<user> and <user> jailed today for highlighting the paki gangs raping british children in towns and cities across the uk our police will not do anything about it because they are busy engaging in this degeneracy	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['paki', 'gangs', 'raping', 'british', 'children']		hatespeech
1179098097160470529_twitter	normal	i know sum bitch made ass niggas man 🤦 🏾 ‍ ♂️ 🤦 🏾 ‍ ♂️ 🤦 🏾 ‍ ♂️	[]	['i', 'know', 'sum', 'bitch', 'made', 'ass', 'niggas', 'man', '🤦', '🏾', '\u200d', '♂️', '🤦', '🏾', '\u200d', '♂️', '🤦', '🏾', '\u200d', '♂️']		hatespeech
1178734015555264512_twitter	hatespeech	questioning my masculinity will not get you nowhere niggers	[0, 0, 0, 0, 0, 0, 0, 0, 1]	['niggers']		hatespeech
1179058712515956743_twitter	normal	he managed to articulate what for me has been only knowable but inexpressible at least through words words my constant struggle about what it like to grow up within the ex yugo context in my case 1 st generation immigrant to macedonian parents	[]	['he', 'managed', 'to', 'articulate', 'what', 'for', 'me', 'has', 'been', 'only', 'knowable', 'but', 'inexpressible', 'at', 'least', 'through', 'words', 'words', 'my', 'constant', 'struggle', 'about', 'what', 'it', 'like', 'to', 'grow', 'up', 'within', 'the', 'ex', 'yugo', 'context', 'in', 'my', 'case', '1', 'st', 'generation', 'immigrant', 'to', 'macedonian', 'parents']		normal
19399571_gab	hatespeech	you are an illiterate kike apparently ey <wink>	[0, 0, 0, 0, 1, 0, 0, 0]	['kike']		hatespeech
1178808287082336256_twitter	normal	you know what i like to do when i come to california get raped by the gas prices	[]	['you', 'know', 'what', 'i', 'like', 'to', 'do', 'when', 'i', 'come', 'to', 'california', 'get', 'raped', 'by', 'the', 'gas', 'prices']		offensive
17539352_gab	hatespeech	in two tweets a naive cuck and midwit jew perfectly illustrate white jew relations cuck sees jewish listed twice on dnc tweet hmm sumptins fishy kike tries to shut it down anti semite cuck expects fairness and explains kike suck my dick harder goyim	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	['midwit', 'jew', 'kike', 'kike']		hatespeech
15252641_gab	offensive	i went to the post office today and asked the <number> lb sheboon behind the counter how much faster a letter to amarillo would get there if i used express mail her exact reply mayne you really expeck me ta know diss	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['sheboon']		hatespeech
1178818068497207298_twitter	normal	<user> the weird thing is theyre persians who arent white washed and my manager identifies as muslim or whatever when convenient plus the one who made an islamaphobic remarks lives in dubai can you imagine the audacity a whole ass muslim country	[]	['<user>', 'the', 'weird', 'thing', 'is', 'theyre', 'persians', 'who', 'arent', 'white', 'washed', 'and', 'my', 'manager', 'identifies', 'as', 'muslim', 'or', 'whatever', 'when', 'convenient', 'plus', 'the', 'one', 'who', 'made', 'an', 'islamaphobic', 'remarks', 'lives', 'in', 'dubai', 'can', 'you', 'imagine', 'the', 'audacity', 'a', 'whole', 'ass', 'muslim', 'country']		hatespeech
27546255_gab	hatespeech	yes everybody ask yourself right now would you ruin your life with a bull dyke ricky vaughn with tits <user>	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	['bull', 'dyke']		hatespeech
17317750_gab	hatespeech	the rhodesian ridgeback because if whites are lead by the moderate civic nationalist libertarian right alt zionist not all jews based nigger policies of the alt right instead of national socialism we will end up the same way rhodesia did zimbabwe	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
1178284117038813184_twitter	normal	<user> bat ching chong	[]	['<user>', 'bat', 'ching', 'chong']		hatespeech
1179102478710837249_twitter	offensive	<user> i am black with all white freinds taco man	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	['taco', 'man']		normal
2794893_gab	normal	<user> <user> trump has offered cnn an outsourcing waiver if they want to replace us idiot queers with smarter queers from india zucker compares these to obama aca waivers to unions and says laws are not for every body you know meanwhile lemon alleges cooper is a racist scab	[]	['<user>', '<user>', 'trump', 'has', 'offered', 'cnn', 'an', 'outsourcing', 'waiver', 'if', 'they', 'want', 'to', 'replace', 'us', 'idiot', 'queers', 'with', 'smarter', 'queers', 'from', 'india', 'zucker', 'compares', 'these', 'to', 'obama', 'aca', 'waivers', 'to', 'unions', 'and', 'says', 'laws', 'are', 'not', 'for', 'every', 'body', 'you', 'know', 'meanwhile', 'lemon', 'alleges', 'cooper', 'is', 'a', 'racist', 'scab']		hatespeech
12370283_gab	hatespeech	holy crap <user> on twitter is nigger meme central look at this gem from trump un speech	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
18946604_gab	hatespeech	i m glad ds is back on dailystormer top and no kike will ever hold our movement down	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	['kike']		hatespeech
1184640429733474304_twitter	normal	asap rocky talkin bout how he been a sex addict since junior high nigga join the club	[]	['asap', 'rocky', 'talkin', 'bout', 'how', 'he', 'been', 'a', 'sex', 'addict', 'since', 'junior', 'high', 'nigga', 'join', 'the', 'club']		offensive
14021780_gab	hatespeech	the only good muzzie is a dead muzzie i want them all to be good muzzies goathumpers and wife beaters the religion of piss nuking mecca and medina would be a good way to start their extermination	[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['muzzie', 'dead', 'muzzie', 'goathumpers']		hatespeech
1178992429485047808_twitter	normal	<user> he dindu nuffin and the po po done shot him	[]	['<user>', 'he', 'dindu', 'nuffin', 'and', 'the', 'po', 'po', 'done', 'shot', 'him']		hatespeech
10842242_gab	normal	black people still have not expressed their anger over current moslem slave owners in the middle east and north africa	[]	['black', 'people', 'still', 'have', 'not', 'expressed', 'their', 'anger', 'over', 'current', 'moslem', 'slave', 'owners', 'in', 'the', 'middle', 'east', 'and', 'north', 'africa']		offensive
1179034258549039104_twitter	normal	<user> the hero worship echo chamber they will never admit that their hero could do any wrong anything you bring up is not relevant or a feminazi hit price or part of a general attack on straight white men in leadership it sickening	[]	['<user>', 'the', 'hero', 'worship', 'echo', 'chamber', 'they', 'will', 'never', 'admit', 'that', 'their', 'hero', 'could', 'do', 'any', 'wrong', 'anything', 'you', 'bring', 'up', 'is', 'not', 'relevant', 'or', 'a', 'feminazi', 'hit', 'price', 'or', 'part', 'of', 'a', 'general', 'attack', 'on', 'straight', 'white', 'men', 'in', 'leadership', 'it', 'sickening']		hatespeech
4577727_gab	hatespeech	<user> just saw a sad older couple with <number> mulatto grandkids at the store you know they are taking care of their degenerate mudshark daughter spawn sad	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	['mulatto', 'mudshark']		hatespeech
14261862_gab	hatespeech	like i care <tong> is bitching to a stupid beaner like me going to fix that nope good luck	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['stupid', 'beaner']		hatespeech
15236372_gab	hatespeech	you can sleep safe at night knowing these wonderful ladies at nato are defending you from moslem terrorist	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	['moslem', 'terrorist']		hatespeech
1178828105445720064_twitter	normal	<user> what the hell they are literally a fucking hate group they would not allow the kk or some other group to just show up why is this any fucking different ugh thanks for letting me know	[]	['<user>', 'what', 'the', 'hell', 'they', 'are', 'literally', 'a', 'fucking', 'hate', 'group', 'they', 'would', 'not', 'allow', 'the', 'kk', 'or', 'some', 'other', 'group', 'to', 'just', 'show', 'up', 'why', 'is', 'this', 'any', 'fucking', 'different', 'ugh', 'thanks', 'for', 'letting', 'me', 'know']		hatespeech
